"author_id,""created_at"",""id"",""lang"",""retweet_count"",""text"""
"3431522397,""2022-08-08T01:07:24Z"",""1556446950295322625"",""pt"",""4"",""RT @PompeodeMattos O @VieiraPDT bateu com duas m∆os \nLeite se gaba de fazer o m°nimo \nO Edegar Pretto diz que vai dar cafÇ da manh∆ p?"""
"2481764343,""2022-08-08T01:07:22Z"",""1556446941449539585"",""pt"",""104"",""RT @fernandapsol Onix caixa dois confesso n∆o pode falar de corrupá∆o""""  #DebateNaBandRS"""
"1191543222247534594,""2022-08-08T01:07:22Z"",""1556446938333151234"",""es"",""0"",""#DebateNaBandRS\nFechada com @EdegarPretto """
"1143942487,""2022-08-08T01:07:21Z"",""1556446936345067521"",""pt"",""1"",""Chegou atÇ suar o implante novo q fez \n\n#DebateNaBandRS #LulaOlivioPrettoRuas  """
"117722784,""2022-08-08T01:07:21Z"",""1556446934948364290"",""pt"",""79"",""RT @EdegarPretto N∆o consigo compreender como um governo permitiu que os servidores da educaá∆o ficassem sete anos sem reposiá∆o salarial?"""
"295949375,""2022-08-08T01:07:21Z"",""1556446933962588165"",""pt"",""13"",""RT @TZTarcisio Edegar desnudando picaretagem e incompetància desgoverno Bolsonarista e Bols‚nix \n\nN¢s temos soluá‰es que o Bra?"""
"1451352903042703361,""2022-08-08T01:07:20Z"",""1556446932729487360"",""pt"",""91"",""RT @giovanicherini              ß     \n\n#DebateNaBandRS?"""
"1549878076175155206,""2022-08-08T01:07:20Z"",""1556446931622182919"",""pt"",""30"",""RT @PTpoa ?O trabalhador com dinheiro bolso vai comprar mais consumir mais e aumentar demanda para roda da economia girar? @Edega?"""
"31426392,""2022-08-08T01:07:20Z"",""1556446930577899520"",""pt"",""0"",""Onyx Lorenzoni disse o Rio Grande est† acostumado com homens de honra e palavra"""" Ah t† E fala em homem de novo Aponta homofobia expl°cita em sua fala\nê o tal homem de bem"""" o mesmo que teve o Caixa 2 perdoado por Sergio Moro o Marreco FBI\n#DebateNaBandRS"""
"1024849767665418240,""2022-08-08T01:07:18Z"",""1556446921241362433"",""pt"",""41"",""RT @JulianaBrizola O @vieirapdt questiona Leite sobre o ABANDONO da educaá∆o com °ndices altos de evas∆o escolar educaá∆o Ç o futuro d?"""
"1387413684931158018,""2022-08-08T01:07:17Z"",""1556446920448540681"",""pt"",""1408"",""RT @onyxlorenzoni verdadeiras multid‰es seguindo o Presidente Jair Bolsonaro em todo o Brasil  deixam narrativas e pesquisas""""?"""
"1490838015102668800,""2022-08-08T01:07:15Z"",""1556446908687728644"",""pt"",""11"",""RT @BohnGass Num tom muito sereno como convÇm quem quer governar o Rio Grande @EdegarPretto vai mostrando que para comandar o Estado Ç?"""
"159215772,""2022-08-08T01:07:14Z"",""1556446906129203201"",""pt"",""35"",""RT @ruirapina3 @onyxlorenzoni est† muito bem debate atÇ aqui Firme tranquilo respondendo tom adequado Ö camarilha esquerdista ???"""
"52733007,""2022-08-08T01:07:12Z"",""1556446897665179648"",""pt"",""2"",""Esse cidad∆o aqui acaba de dizer pro @EdegarPretto vocàs roubaram o Brasil""""\n\nA cara de pau dos bolsonaristas n∆o tem limites """
"1492699526628528134,""2022-08-08T01:07:11Z"",""1556446893374414848"",""pt"",""0"",""@onyxlorenzoni Kkkkkkkkkkkkkkkkkkkkkkk lambe-botas Povo ga£cho esse cara a° jamais"""
"1215748932560674816,""2022-08-08T01:07:09Z"",""1556446885891776519"",""pt"",""31"",""RT @LeonelRadde @EdegarPretto demolindo o Onyx Caixa 2 corrupto confesso e propagador de fake news #LulaOlivioPrettoRuas  #DebateNaBand"""
"1537144596152700931,""2022-08-08T01:07:07Z"",""1556446878564327424"",""qme"",""5"",""#LulaOlivioPrettoRuas\n#DebateNaBandRS """
"304418513,""2022-08-08T01:07:07Z"",""1556446877045760001"",""pt"",""0"",""Roberto Argenta lutando contra o pigarro #DebateNaBandRS"""
"1529445932118556673,""2022-08-08T01:07:04Z"",""1556446864291102721"",""pt"",""3"",""O @onyxlorenzoni n∆o explica como fala em verdade com o @jairbolsonaro decretando sigilo e governando com oráamento secreto\n\n#LulaOlivioPrettoRuas\n#DebateNaBandRS"""
"1000726274032259077,""2022-08-08T01:07:03Z"",""1556446861459873792"",""pt"",""1217"",""RT @onyxlorenzoni O esquerdista Peninha sujeito que exala ¢dio e prega violància e crimes em um v°deo  n∆o representa o Rio Grande Su?"""
"54996524,""2022-08-08T01:07:03Z"",""1556446861350821889"",""pt"",""4"",""Re£ confesso de CAIXA 2 n∆o pode falar de corrupá∆o  @EdegarPretto para Onyx Reu confesso de Caixa 2 Lorenzon\n#DebateNaBandRS"""
"1124827000382926848,""2022-08-08T01:07:03Z"",""1556446860570763265"",""pt"",""104"",""RT @fernandapsol Onix caixa dois confesso n∆o pode falar de corrupá∆o""""  #DebateNaBandRS"""
"1017628104,""2022-08-08T01:07:02Z"",""1556446855294328835"",""pt"",""104"",""RT @fernandapsol Onix caixa dois confesso n∆o pode falar de corrupá∆o""""  #DebateNaBandRS"""
"412269146,""2022-08-08T01:07:01Z"",""1556446853021016065"",""pt"",""91"",""RT @giovanicherini              ß     \n\n#DebateNaBandRS?"""
"98679784,""2022-08-08T01:06:52Z"",""1556446812671774722"",""pt"",""0"",""Vieira da Cunha tambÇm confirma que Ç bom de debate \n\n#DebateNaBandRS #BandJornalismo"""
"16045528,""2022-08-08T01:06:51Z"",""1556446811908366342"",""pt"",""0"",""Caixa 2 confesso n∆o pode falar em corrupá∆o Foi ¢timo\n#DebateNaBandRS"""
"1253763864988135426,""2022-08-08T01:06:51Z"",""1556446809333055488"",""pt"",""0"",""@EdegarPretto de barriga cheia mas um pouco indigesto\n#DebateNaBandRS"""
"1124140833547141121,""2022-08-08T01:06:50Z"",""1556446805306609665"",""pt"",""0"",""@onyxlorenzoni Ç CAIXA 2 CONFESSO E GASTOU DINHEIRO CART«O CORPORATIVO ANDANDO NA GARUPA CAPIT«O #DebateNaBandRS"""
"16655632,""2022-08-08T01:06:48Z"",""1556446797811286017"",""pt"",""0"",""Nosso futuro governador @EdegarPretto enquadrou o caixa 2 confesso Onyx Lula desenvolveu o Brasil e investiu RS com o PAC Bolsonaro n∆o faz nada alÇm de espalhar ¢dio Por isso Lula vai ganhar 1 turno Aqui temos que eleger Edegar e @PedroRuasPsol #debatenabandrs"""
